idx,label,location.lat,location.long
9065,0,52.0339758,6.1129115
9066,0,52.0337758,6.1130281
9067,0,52.0236518,6.1170003
9068,0,52.0341717,6.1122277
9069,0,52.0337888,6.1129222
9070,0,52.0218751,6.1182822
9071,0,52.0219096,6.1181341
9072,0,52.0244038,6.1167053
9073,0,52.0244905,6.1164946
9074,0,52.0250178,6.1174621
9075,0,52.0248734,6.117198
9076,0,52.0247681,6.1173054
9077,0,52.0327084,6.1170019
9078,0,52.0269293,6.121908
9079,0,52.69292,9.2777373
9080,0,53.0639881,19.3441864
9081,0,53.2842727,21.001148
9082,0,53.3705121,22.5248316
9083,0,53.3933808,22.4992942
9084,0,53.4510678,22.5570797
9085,0,53.4058725,22.5253047
9086,0,53.2321456,22.5078724
9087,0,53.2229569,22.5331013
9088,0,53.11536,22.3123862
9089,0,53.1151196,22.3106577
9090,0,53.1126724,22.2962798
9091,0,53.1131586,22.2976916
9092,0,53.5596464,22.7852557
9093,0,53.6945672,22.7367848
9094,0,53.6958571,22.7346306
9095,0,53.6940831,22.7393898
9096,0,53.651149,22.7584744
9097,0,53.6924868,22.7452529
9098,0,55.5688446,24.3919056
9099,0,54.5428572,29.1535247
9100,0,54.9503438,28.560114
9101,0,55.0111582,28.5310512
9102,0,55.0115562,28.5996965
9103,0,54.901024,28.6914502
9104,0,54.9044165,28.6952177
9105,0,54.9023218,28.6935136
9106,0,54.906245,28.6976787
9107,0,54.9013131,28.6889049
9108,0,54.9047802,28.6939322
9109,0,54.9018962,28.693394
9110,0,54.7896091,28.5607776
9111,0,56.3641887,28.0877471
9112,0,56.36542,28.087589
9113,0,55.1536102,29.9318942
9114,0,55.1566575,29.9441717
9115,0,55.1286261,29.8476695
9116,0,55.1576755,29.9198178
9117,0,55.1076016,29.8321408
9118,0,55.1401182,29.8920913
9119,0,55.1415852,29.9694473
9120,0,55.1905753,29.7122577
9121,0,55.2073236,29.652888
9122,0,55.2094779,29.6477739
9123,0,55.2110068,29.6618817
9124,0,55.0910125,29.6730842
9125,0,55.1872437,29.8561561
9126,0,55.2096701,29.6546028
9127,0,55.2062492,29.6491815
9128,0,55.2670054,29.7300873
9129,0,55.587748,29.9679393
9130,0,55.7775844,30.0329611
9131,0,55.7764077,30.0339044
9132,0,55.7742914,30.0234073
9133,0,55.7717329,30.025806
9134,0,55.7694186,30.0279043
9135,0,55.8450888,30.0288855
9136,0,55.8074013,30.0305098
9137,0,55.8442903,30.0275131
9138,0,55.844516,30.0274889
9139,0,56.7570216,30.2214694
9140,0,60.7855238,39.0158052
9141,0,64.5332852,48.0675744
9142,0,64.6711699,45.5965481
9143,0,64.6931854,45.5868126
9144,0,64.6960189,45.5431678
9145,0,64.7032568,45.5372421
9146,0,64.6999275,45.5119149
9147,0,64.7181048,45.5090809
9148,0,64.7177203,45.509014
9149,0,64.7512489,45.5349554
9150,0,64.7471357,45.545811
9151,0,64.7759178,45.5993356
9152,0,64.777364,45.5963075
9153,0,64.777421,45.596401
9154,0,64.9366038,45.8199329
9155,0,67.2450612,54.2023316
9156,0,69.2408538,68.1018814
9157,0,69.2304531,68.1196915
9158,0,69.2005267,68.1622441
9159,0,69.0646898,68.3839262
9160,0,68.2234763,69.4303663
9161,0,68.2218702,69.4328724
9162,0,68.2272617,69.4907132
9163,0,68.2362676,69.4892661
9164,0,68.4874198,69.2452145
9165,0,70.7779164,66.9071916
9166,0,70.7769857,66.8951718
9167,0,70.7806977,66.894417
9168,0,70.7780612,66.897042
