idx,location.long,location.lat,label
474,11.8695109,52.91922,0
475,11.8694364,52.9192963,0
476,11.8694252,52.9194374,0
477,11.8694797,52.9193128,0
478,11.869312,52.919417,0
479,11.869473,52.9192326,0
480,11.8691236,52.9195132,0
481,11.8695217,52.9193291,0
482,11.869482,52.9193286,0
483,11.8694157,52.9193136,0
484,11.8694259,52.91902,0
485,12.9631861,52.4247315,0
486,13.2702857,52.3796647,0
487,14.7289379,52.1587035,0
488,18.4610729,50.7209034,0
489,21.0896841,49.1172208,0
490,23.5864152,47.0104167,0
491,25.241149,45.7138447,0
492,26.5138483,43.7757428,0
493,27.6220147,41.6772277,0
494,30.3591764,39.6298787,0
495,32.5642395,37.8981175,0
496,32.5647215,37.8980213,0
497,35.6358224,37.1038963,0
498,37.3462435,34.8191527,0
499,36.7101546,33.4694428,0
500,36.0266375,31.3424334,0
501,33.6631282,28.9281247,0
502,32.5139003,25.9257572,0
503,32.7095549,23.8679481,0
504,31.067005,21.1393892,0
505,30.0828622,17.3584549,0
506,27.9160863,15.0599665,0
507,25.9142485,14.1196048,0
508,24.1612876,14.0702131,0
509,22.7655015,14.3028489,0
510,21.2404663,14.8722559,0
511,19.2433748,13.8407617,0
512,19.3527267,13.5775612,0
513,18.6912752,13.6260878,0
514,18.7299519,13.764907,0
515,18.7464943,13.7701999,0
516,18.9159103,13.696119,0
517,18.9127926,13.6954659,0
518,19.1475966,13.7359208,0
519,19.0493818,13.7338107,0
520,19.0487448,13.736211,0
521,18.8412831,13.0785107,0
522,18.8186133,13.1455098,0
523,18.5731777,13.255664,0
524,17.8551436,13.3320819,0
525,17.8741126,13.4076669,0
526,17.8941904,13.3876149,0
527,17.7000433,13.2818914,0
528,18.0303964,13.2548204,0
529,18.1195862,13.2061003,0
530,18.1276527,13.2264388,0
531,18.1308456,13.2395273,0
532,18.1288374,12.9964502,0
533,18.1175722,12.9978077,0
534,18.4341409,13.3616409,0
535,18.1156644,12.9790003,0
536,18.099066,12.9542537,0
537,18.1307635,12.9581099,0
538,18.1176012,12.9392153,0
539,18.090708,12.9089551,0
540,17.3704335,12.6244991,0
541,17.9166174,13.0528672,0
542,18.0767038,12.8908509,0
543,18.0507561,12.8109384,0
544,18.0778051,12.8242671,0
545,18.0624708,12.7644342,0
546,18.1336483,13.1000102,0
547,18.1467789,13.097533,0
548,18.1309548,13.2107071,0
549,18.0722236,13.1726894,0
550,18.202203,13.2440175,0
551,18.2341545,13.2488334,0
552,18.402242,13.2375293,0
1264,12.0597105,51.9818851,1
1265,12.1189916,51.9637287,1
1266,12.1128255,51.953549,1
1267,12.1028245,51.9722016,1
1268,12.1029989,51.9720793,1
1269,12.1027686,51.97225,1
1270,13.4793589,51.3668453,1
1271,16.5085361,50.7600441,1
1272,19.1494882,49.5035548,1
1273,22.124287,48.4622239,1
1274,25.7454744,46.533799,1
1275,26.8957418,44.5273809,1
1276,27.7766941,42.1879131,1
1277,30.8923591,40.185406,1
1278,34.9776116,36.9342155,1
1279,36.8696271,35.4249427,1
1280,36.8897526,33.481007,1
1281,36.0225119,32.4703012,1
1282,34.1540086,30.0812912,1
1283,32.7443875,25.3966788,1
1284,31.4217006,22.2155363,1
1285,29.2352013,19.5847116,1
1286,26.6396379,17.142276,1
1287,23.740377,15.4595462,1
1288,22.2842076,14.5556591,1
1289,21.5692941,14.9019783,1
1290,20.7086526,15.537323,1
1291,20.6465124,15.5282592,1
1292,20.732967,15.5299332,1
